,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
CaScAlSiO6,mp-39167,9.8449713,6.9922,577050.094,559039.125,577050.094
SrLaAl3O7,mp-1218220,10.042087316666668,6.0857,577099.313,568550.468,577099.313
RbNbTeO6,mp-1219576,389.4732177733334,3.6987,577301.447,574836.347,577301.447
MgTiO3,mp-3771,18.15158691000001,5.2506,578206.941,575136.269,578206.941
Ba3MgSb2O9,mp-16978,17.491263426666666,4.6176,578534.295,573566.471,578534.295
Rb3Y(PO4)2,mp-1209357,9.24639612,6.6597,579229.387,577958.682,579229.387
Be4TeO7,mp-27608,7.28396467,3.1377000000000006,579883.684,579263.867,579883.684
Mg3(BO3)2,mp-5005,7.289910903333333,7.2455,580288.078,578853.423,580288.078
NbInO4,mp-9595,17.01136916,4.6744,580738.291,579892.184,580738.291
Ca2V2O7,mp-27614,12.374501173333332,4.311699999999999,584856.937,574342.583,584856.937
SrBe3O4,mp-27791,8.461105853333335,5.728899999999999,585015.656,583552.102,585015.656
Mg4Ta2O9,mp-17481,11.825737166666666,5.9158,585415.057,580232.534,585415.057
SrGeTeO6,mp-10341,9.292995896666666,4.8251,586415.765,584584.001,586415.765
NaBe4SbO7,mp-8075,9.555464483333337,5.4609000000000005,586770.65,582816.097,586770.65
Ba2ZnTeO6,mp-1078410,17.28538554,2.328,589336.439,589243.918,589336.439
Mg2TiO4,mp-757031,15.348002936666669,5.146299999999999,589612.672,580540.441,589612.672
Rb(TeO3)2,mp-38070,1420.51888115,0.7867999999999995,590501.887,590206.916,590501.887
BaTeO4,mp-754967,9.701217536666666,3.8917,591972.101,586944.311,591972.101
RbNbO3,mp-3283,11.257589256666666,4.8881,592869.53,577851.958,592869.53
Ba3Te2O9,mp-17009,14.67069384,4.1615,593173.886,589641.856,593173.886
K2Ti(TeO4)3,mp-1223905,16.902148476666667,3.0693,593438.776,586857.257,593438.776
Rb2Ti(TeO4)3,mp-1540553,18.53907278333334,3.0483,594220.199,584461.735,594220.199
Cs2Ge(TeO4)3,mp-1226191,10.828273823333332,2.0653000000000006,595835.945,594120.359,595835.945
SrTeO4,mp-4274,8.798472929999999,4.014099999999999,596086.599,592189.425,596086.599
LiAl(Si2O5)2,mp-6442,4.405447886666667,7.2069,596205.493,587915.244,596205.493
RbSc(SO4)2,mp-1209187,7.82174528,6.2556,596410.877,596208.152,596410.877
Mg2B2O5,mp-18256,6.76981221,7.2057,597141.884,582948.696,597141.884
Na2TiTeO6,mp-1221267,10.354687636666664,4.1749,598821.317,594424.206,598821.317
Rb3NbO8,mp-9808,7.59065039,4.4787,600610.96,597376.156,600610.96
CsSc(SO4)2,mp-1213159,7.277258013333334,6.2794,601019.029,599144.112,601019.029
RbTa(GeO3)3,mp-540632,9.013513263333332,5.446199999999999,603716.841,601426.181,603716.841
RbTa(PO4)2,mp-554412,9.042481523333333,4.9911,604085.897,600503.77,604085.897
CsNb(PO4)2,mp-555286,9.822565986666667,4.0302,604702.11,602444.479,604702.11
