,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
Sr2YSbO6,mp-12878,15.5630839,5.7198,411722.591,403662.165,411722.591
NaGeSbO5,mp-6526,9.27286961,3.9155,414321.112,412062.555,414321.112
Sr2YNbO6,mp-6019,28.95841882,4.7689,414694.03,409283.225,414694.03
Rb4P2PbSe8,mp-867964,10.00883814,2.6625,414719.117,406816.757,414719.117
Rb4SbO4,mp-779000,11.3240663,0.0287,415175.638,399274.236,415175.638
CsLiMoO4,mp-551629,5.91144147,6.0164,415330.076,415225.726,415330.076
CsNa3PbO4,mp-505396,8.067751997,3.0131,415604.066,379178.252,415604.066
Te2SO7,mp-4906,12.32535977,4.8947,420914.997,417265.043,420914.997
NaGaO2,mp-3338,6.3001275,4.6272,420145.919,422421.684,422421.684
CsLaS2,mp-561586,12.33510411,3.3285,426084.167,425434.726,426084.167
Ag3SbS3,mp-555269,18.76787538,1.9229,426239.253,417854.142,426239.253
CsLiSO4,mp-6726,5.52223326,7.3095,426791.79,418974.447,426791.79
Rb3TaS4,mp-17220,6.888666827,3.8183,427027.554,421910.521,427027.554
Cd2PbO4,mp-867731,1.694000677,1.0817,424148.467,428681.244,428681.244
CsInS2,mp-559459,8.508476827,3.4223,429630.507,415198.904,429630.507
Cd(RhO2)2,mp-14100,12.9129052,2.7817,424707.472,429986.081,429986.081
CsGeBiS4,mp-553970,24.54655241,2.8737,431026.967,423527.126,431026.967
Ag3AsS3,mp-561620,12.49261867,2.4602,433500.727,428382.465,433500.727
CsLaO2,mp-1178449,18.67206552,4.2635,434382.227,433813.903,434382.227
Na8Si6SnO18,mp-560597,8.121330883,5.8711,434504.56,433125.756,434504.56
CsLi5(BO3)2,mp-555082,7.47500533,5.2823,436863.512,424837.275,436863.512
CsLaHgSe3,mp-11124,11.24363747,2.385,441382.267,437075.967,441382.267
CsMoN3O11,mp-1200253,4.872892387,4.4089,441629.056,408435.733,441629.056
Rb3NbS4,mp-3719,7.126381937,3.3847,442265.573,437609.837,442265.573
CsLiCrO4,mp-561778,5.866291187,4.4288,442897.312,433043.365,442897.312
Sr2NbInO6,mp-20222,21.41533563,5.0375,447604.537,444306.846,447604.537
CsLa2CuSe4,mp-505815,13.01091679,1.9505,448375.223,437276.597,448375.223
CaMg(SiO3)2,mp-6766,8.094570983,6.9536,449357.65,446397.316,449357.65
CaMgGeO4,mp-558362,7.792245787,5.5021,451670.157,447744.036,451670.157
CaMg2(SO4)3,mp-554094,6.217814217,7.8146,453007.27,446981.512,453007.27
CsInTe3O8,mp-1192413,9.7784487,4.2332,453313.497,448685.596,453313.497
NaBi(MoO4)2,mp-1210092,39.58568359,3.6033,455300.578,452626.309,455300.578
NaBe4SbO7,mp-8075,9.555464483,5.4609,459239.981,455575.931,459239.981
Cd2BiAsO6,mp-556653,13.79267431,3.1663,458927.341,459453.621,459453.621
LaZrTa3O11,mp-1222999,30.12923473,4.9306,463353.461,377765.247,463353.461
SrS,mp-1087,11.03857328,3.3926,464578.03,465315.473,465315.473
NaCu(PO3)4,mp-776597,6.903411773,2.2059,465334.183,442663.29,465334.183
CsBiS2,mp-541378,16.72784637,2.253,465643.94,464309.244,465643.94
Na6Be8O11,mp-28559,8.231588583,5.3331,466999.623,454505.118,466999.623
